VariableGroup	Variable	Primary	Reqd_Qual	Multiple	Description	Explanation
GRP_HEADER	SITE_ID	p		1	Six character site identifier. MANDATORY if site is already registered	The code is assigned by the network and communicated to the PI when the site is first registered. Use only the assigned code once it has been assigned. If you do not yet have a site_id contact your regional network to get one assigned.
GRP_HEADER	SITE_NAME		r	1	Site name	"The name should be related to the location where the site is installed and not the name of the vegetation type (e.g. ""Central Park New York"" is ok, ""forest"" is not)."
GRP_HEADER	SUBMISSION_CONTACT_NAME		r	1	Name of person who submitted this template	This person is the one that we will contact to get help solving issues related to the data import process for this data submission.
GRP_HEADER	SUBMISSION_CONTACT_EMAIL		r	1	E-mail address of the person who submitted this template	This person is the one that we will contact to get help solving issues related to the data import process for this data submission.
GRP_HEADER	SUBMISSION_DATE		r	1	Date this submission was last edited/modified	If you change this template's contents, this date should be the date of the last change.
GRP_SOIL_CHEM	SOIL_CHEM_C_ORG	s		m	Soil organic carbon concentration	
GRP_SOIL_CHEM	SOIL_CHEM_C_ORG_STATISTIC		r	m	Soil organic carbon concentration statistic	The statistic for the measurement reported. Use predefined list (e.g., mean, min / max, standard deviation, etc).
GRP_SOIL_CHEM	SOIL_CHEM_C_ORG_STATISTIC_METHOD			m	Soil organic carbon concentration statistic method	Method used to generate the reported statistic (e.g., aggregate of individuals, aggregate of sample aggregates) from observations representing the same time period. Use predefined list. The aggregation method is not meant to describe temporal aggregations for example in calculations of higher frequency observations (e.g., sub-minute) to lower frequency observations (e.g., hourly) at a single location.
GRP_SOIL_CHEM	SOIL_CHEM_C_ORG_STATISTIC_NUMBER			m	Number of observations used to determine soil organic carbon concentration statistic	Number of observations (samples / replicates) used to calculate the STATISTIC for the reported measurement.
GRP_SOIL_CHEM	SOIL_CHEM_N_TOT	s		m	Soil total nitrogen concentration	
GRP_SOIL_CHEM	SOIL_CHEM_N_TOT_STATISTIC		r	m	Soil total nitrogen concentration statistic	The statistic for the measurement reported. Use predefined list (e.g., mean, min / max, standard deviation, etc).
GRP_SOIL_CHEM	SOIL_CHEM_N_TOT_STATISTIC_METHOD			m	Soil total nitrogen concentration statistic method	Method used to generate the reported statistic (e.g., aggregate of individuals, aggregate of sample aggregates) from observations representing the same time period. Use predefined list. The aggregation method is not meant to describe temporal aggregations for example in calculations of higher frequency observations (e.g., sub-minute) to lower frequency observations (e.g., hourly) at a single location.
GRP_SOIL_CHEM	SOIL_CHEM_N_TOT_STATISTIC_NUMBER			m	Number of observations used to determine soil total nitrogen concentration statistic	Number of observations (samples / replicates) used to calculate the STATISTIC for the reported measurement.
GRP_SOIL_CHEM	SOIL_CHEM_NH4	s		m	Soil ammonium concentration	
GRP_SOIL_CHEM	SOIL_CHEM_NH4_STATISTIC		r	m	Soil ammonium concentration statistic	The statistic for the measurement reported. Use predefined list (e.g., mean, min / max, standard deviation, etc).
GRP_SOIL_CHEM	SOIL_CHEM_NH4_STATISTIC_METHOD			m	Soil ammonium concentration statistic method	Method used to generate the reported statistic (e.g., aggregate of individuals, aggregate of sample aggregates) from observations representing the same time period. Use predefined list. The aggregation method is not meant to describe temporal aggregations for example in calculations of higher frequency observations (e.g., sub-minute) to lower frequency observations (e.g., hourly) at a single location.
GRP_SOIL_CHEM	SOIL_CHEM_NH4_STATISTIC_NUMBER			m	Number of observations used to determine soil ammonium concentration statistic	Number of observations (samples / replicates) used to calculate the STATISTIC for the reported measurement.
GRP_SOIL_CHEM	SOIL_CHEM_NO3	s		m	Soil nitrate concentration	
GRP_SOIL_CHEM	SOIL_CHEM_NO3_STATISTIC		r	m	Soil nitrate concentration statistic	The statistic for the measurement reported. Use predefined list (e.g., mean, min / max, standard deviation, etc).
GRP_SOIL_CHEM	SOIL_CHEM_NO3_STATISTIC_METHOD			m	Soil nitrate concentration statistic method	Method used to generate the reported statistic (e.g., aggregate of individuals, aggregate of sample aggregates) from observations representing the same time period. Use predefined list. The aggregation method is not meant to describe temporal aggregations for example in calculations of higher frequency observations (e.g., sub-minute) to lower frequency observations (e.g., hourly) at a single location.
GRP_SOIL_CHEM	SOIL_CHEM_NO3_STATISTIC_NUMBER			m	Number of observations used to determine soil nitrate concentration statistic	Number of observations (samples / replicates) used to calculate the STATISTIC for the reported measurement.
GRP_SOIL_CHEM	SOIL_CHEM_K	s		m	Soil potassium concentration	
